file,text
person_8_chamel1.wav,चामल कती बाकी छौ
person_3_9.3.wav,तेल कती बाखे छा
person_8_chamal.2.wav,चामाले किलो था
person_3_17.3.wav,नुन कति बाकि छा
person_1_तेल कति बाँकी छ - Clear.wav,तेल कति बागी छौ?
person_2_17.3.wav,नून कति बाकी छा?
person_4_chamal ek kilo thapa.wav,चामल एक किलो थपः
person_1_दाल एक किलो बेच - Mic_s far away.wav,दाल एक किलो बेचा।
person_3_15.1.wav,चिनी एक किलो बेजा
person_2_15.1.wav,एक किलो चीडी बेचा
person_8_tel1.wav,तेल कती बांकी छौ?
"person_8_chini2,.wav",छीनी एक्किले तब
person_4_daal thapa.wav,दाल एक किलो धबा।
person_7_4w.wav,चिनी कती बैकिसा।
person_6_1d.wav,चामल एक किलो घटव।
person_2_17.2.wav,नून कति बाकी छौ?
person_3_17.2.wav,गाती बाजी सा
person_4_tel thapa.wav,तेल एक लिटर धपा।
person_3_9.2.wav,इलकति बाइकिछ
person_4_nun ghatau - noise.wav,नुन एक किलो बटाऊँ
person_1_तेल एक किलो थप - Noise.wav,तेल एक किलो थापब।
person_8_chamel2.wav,चामले किलो थप
person_1_चामल कति बाँकी छ - Clear.wav,चामल कति बाकी छ।
person_8_chamal.1.wav,चामल कति बांकी छौ।
person_1_चामल एक किलो घटाउ - Mic_s far away.wav,चामल एक किलो गटाऊँ
person_2_15.2.wav,एक किलो चीडी बेछा
person_3_15.2.wav,चिनी एक किलो बेचा
person_4_tel kati baki cha - noise.wav,तिनल कति बागिछो
person_8_tel2.wav,तेल 1 किलो थप
person_4_daal becha - noise.wav,दाल एक किलो बेचाँ।
person_4_daal thapa - noise.wav,डाल एक किलो थापाँ
"person_8_dal1,.wav",तालो गाति बाइकिछो
person_8_tel3.wav,तेल 1 किलो बेच
person_3_15.3.wav,चीनी एक किलो बेचा
person_2_15.3.wav,छिदी एक किलो थापा
person_3_17.1.wav,नुन गति बैकिछा
person_2_17.1.wav,नून कति बाकी छा?
person_3_9.1.wav,तेल कती बैकी छौ।
person_8_chamel3.wav,चामलिक्किलो बिच
person_7_222z.wav,दाल एक किलो कटाओ
person_8_nun3.wav,नुन 1 किलो बेच
person_6_333a.wav,तेल कति बागी सा।
person_2_12.2.wav,प्लीटर तेल गटाओ
person_3_12.2.wav,तेल एक लिटार घाटाओ।
person_2_8.3.wav,दाल एक किलो घटाऊ।
person_1_चामल एक किलो थप - Mic_s far away.wav,चामल एक किलो थबब।
person_7_111y.wav,चामल एक किलो बेचा
person_7_3w.wav,तेल कती बागी सा
person_4_chini thapa.wav,चीनी एक किलो धपा।
person_4_nun becha - noise.wav,नुन इस्तिलो गैजा
person_7_111x.wav,सामल एक किलो थपख।
person_8_dal4.wav,दाल एक किलो घटाऊ।
person_2_8.2.wav,दाल एक किल गटाऊ।
person_3_12.3.wav,एक लिटार घटाओ।
person_2_12.3.wav,तेल एक लिटर घाटाओ।
person_7_333w.wav,कोति बाकिसो
person_3_10.1.wav,तेल एक लिटर थपपा
person_2_10.1.wav,एक लिटर तेल थापा
person_1_नुन एक किलो थप - Noise.wav,नूल एक किलो थपब।
person_1_नुन कति बाँकी छ - Clear.wav,नून कती बाकी छ।
person_8_nun2.wav,नुन एक किलो थप
person_1_चामल एक किलो घटाउ - Clear.wav,चामल एक किलो गटव।
person_7_222y.wav,डाल एक किलो बेचा
person_3_10.3.wav,पिन एक लिटर खापा
person_1_चीनी कति बाँकी छ - Noise.wav,चिनी कति माई किछो
person_2_10.3.wav,तेल एक लिटर थापा।
person_7_11w.wav,नामल कती बागी छा
person_6_333b.wav,तेल एक लिटर था पा
person_3_12.1.wav,तेल एक लिटर घटाओ।
person_2_12.1.wav,एक लिटर तेल कठाओ।
person_1_तेल एक किलो थप - Mic_s far away.wav,तेल एक किलो थपव।
person_4_daal kati baki cha.wav,दाल कती बागी छो।
person_7_111z.wav,चामल एक किलो कटाऊ
person_1_नुन एक किलो घटाउ - Noise.wav,नून एक किलो बटाओ।
person_4_tel becha - far.wav,एक लिटर बेचाओ
"person_8_tel2,.wav",देलेक्किले ताप
person_1_दाल कति बाँकी छ - Clear.wav,दाल कती बाकी छौ?
person_1_चीनी एक किलो थप - Clear.wav,चिनी एक किलो थपः
person_2_8.1.wav,दाल एक किलो गटाओ।
person_6_11d.wav,चामल एक किलो काटव।
person_6_333c.wav,तेल एक लिटर बेचा।
person_2_10.2.wav,एक लिटर तेल थापा
person_4_chamal ek kilo thapa - far.wav,चामल एक किलो धबा।
person_3_10.2.wav,तेल एक लिटार थपा
person_6_555d.wav,नून 1 किलो गातो
person_7_222x.wav,दाल एक किलो धापा
person_8_nun1.wav,नुन कति बागी छा?
person_7_555w.wav,नून कति बाकी छौग।
person_7_44z.wav,चीनी एक किलो गटाओ।
person_7_33x.wav,तील एक लिटर थापा
person_2_14.2.wav,"एक किलो चीडी थपप,"
person_3_14.2.wav,प्रसीनी एक किलो धापा
person_8_dal3.wav,दाले गिलो बेट
person_7_1y.wav,सैमल एक किलो बेजा
person_1_नुन एक किलो घटाउ - Mic_s far away.wav,नून एक किलो गटाउग।
"person_8_tel3,.wav",तेल 1 KB
person_3_16.1.wav,चिनी एक किलो गटाउ।
person_2_16.1.wav,एक किलो चीडी गटाओ।
person_7_1x.wav,नी एक किलो थापा
person_3_8.1.wav,दाल एक किलो गटाऊ।
person_8_dal2.wav,दालेक किलो थोप
person_4_daal kati baki cha - far.wav,दाल कोती बागी जहो
person_1_दाल एक किलो घटाउ - Clear.wav,दाल एक किलो गटाओ।
person_3_14.3.wav,छिमी एक किलो धबा
person_4_daal kati baki cha - noise.wav,दाल को तु बागिछा।
person_2_14.3.wav,चीदी एक किलो बेछा
person_1_चामल एक किलो बेच - Noise.wav,चामल एक किलो देछा
person_1_दाल एक किलो थप - Clear.wav,दाल एक किलो थोपा
"person_8_nun1,.wav",नुन कोती बैंकेछा
person_6_11a.wav,चामल कती बाकी छ।
person_7_33y.wav,तेल एक लिटर बेचा
person_7_444z.wav,चीनी एक किलो कटाऊ
person_4_nun thapa.wav,"नून एक किलो धपा,"
person_8_nun4.wav,नुन 1 किलो घटाऊ।
person_6_555a.wav,नून कति बागी छो।
person_6_555c.wav,नून 1 किलो बेचा
person_6_333d.wav,तेल एक लिटर काटाओ।
person_7_444x.wav,चीनी एक किलो थापा।
person_6_11c.wav,चामल 1 किलो बेटा
person_7_44y.wav,चीनी एक किलो बेचा
person_1_दाल एक किलो थप - Mic_s far away.wav,दाल एक किलो थबब।
person_3_14.1.wav,चिनी एक किलो थापा
person_2_14.1.wav,"एक किलो चीडी थपा,"
person_7_1z.wav,चामल एक किलो गटाओ
person_3_8.3.wav,डाल एक किलो गटाओ।
"person_8_chini4,.wav",चीनी एक किले बटाउट
person_3_16.3.wav,चिनी एक किलो गटाऊ।
person_2_16.3.wav,चीडी एक किलो गटाओ।
person_2_16.2.wav,"एक किलो चीडी गटाऊँगो,"
person_3_16.2.wav,चिनी एक किलो गटाउ
person_3_8.2.wav,लेकिलो गटाऊक
person_7_2w.wav,डाल कती बाकी छौ।
person_8_dal1.wav,दाल कती बाकी छा?
person_1_चीनी एक किलो बेच - Mic_s far away.wav,छीनी एक किलो बेचा
person_1_तेल एक किलो बेच - Noise.wav,तेल एक किनो देजा
person_1_तेल एक किलो घटाउ - Noise.wav,तेल एक चिनो घटाओ।
person_7_44x.wav,छीने एक किलो तपा
person_6_11b.wav,चामल एक किलो थपः
person_7_33z.wav,एल एक लिटर गटाओ
person_4_chamal ghatau - far.wav,चामल एक किलो गटवू
person_7_444y.wav,चीनी एक किलो बेचा
person_6_555b.wav,नुन एक किलो थापा
person_6_222d.wav,दाल एक किलो गातव।
person_7_555x.wav,नून एक किलो थापा
person_4_daal ghatau - far.wav,दाल एक किलो भटा हुन।
person_2_2.1.wav,एक किलो चामल थपपः
person_6_444c.wav,चीनी एक किलो बेचा।
person_6_5a.wav,नून कति बागी छ।
"person_8_tel3,,.wav",तेले गिलो बेच
person_4_nun ghatau - far.wav,नून एक किलो का टाउन।
person_7_33w.wav,दिल कति बैकिछा
person_1_दाल एक किलो घटाउ - Noise.wav,दाल एक किलो गटाओ।
person_3_4.2.wav,चामाले एक किलो गटव।
person_4_chini ghatau - far.wav,प्रशिनी एक किलो गड़ाओट
person_7_2z.wav,दाल एक किलो गटाओ
person_1_चामल एक किलो बेच - Clear.wav,चामल एक किलो बेचा
person_1_दाल एक किलो थप - Noise.wav,दाल एक किलो थबब।
person_3_6.1.wav,दाल 1 किलो धबा
person_4_chamal ek kilo becha - noise.wav,चामल एक किलो बेचा।
person_2_18.1.wav,"नून एक किलो थापा,"
person_4_chamal ek kilo thapa - noise.wav,चामल एक किलो थपः।
person_7_1w.wav,चामल को तिबागिछो
person_4_nun - far.wav,मुन कति बाति छाओ
person_3_18.1.wav,नुनेक किलो धापा
person_3_4.3.wav,नामल एक किलो गटाऊ।
person_6_4d.wav,चीनी एक किलो घटव।
person_8_chini1.wav,चीनी कती बाकी छौ।
person_6_444b.wav,चीने एक किलो थापा।
person_6_33d.wav,तेल 1 लिटर कटव
person_7_555y.wav,नून एक किलो बेचा
person_6_44d.wav,चीनी एक किलो काटाओ।
person_8_chini3.wav,जिनी एक किलो बेच।
person_7_444w.wav,चिनी कति बाकिछो
person_6_5b.wav,नून एक किलो थपा
person_4_chini kati baki cha.wav,चिनिकाति बगिता
person_3_4.1.wav,चमल 1 किलो गटाउ
person_7_2y.wav,धाल एक किलो बेजा
person_1_तेल एक किलो बेच - Clear.wav,तेल एक किलो बेचा।
person_1_तेल एक किलो घटाउ - Clear.wav,तेल एक किलो गटाओ।
person_6_111d.wav,चामल एक किलो कटव।
person_2_18.3.wav,नूल एक किलो थापा।
person_3_18.3.wav,नुनेक किलो धाबार
person_4_chamal ghatau.wav,चामल एक किलो घटवू
person_3_6.3.wav,लाल एक किलो धबा
person_3_6.2.wav,दाली खिलो धापा
"person_8_dal4,.wav",दाल एक किलो गटाउच्छु
person_3_18.2.wav,नुन एक किलो धापा
person_4_daal ghatau - noise.wav,दाल एक किलो गटाऊँ
person_2_18.2.wav,नून एक किल थापा
person_7_2x.wav,दाल एक किलो थापा
person_4_nun - noise.wav,उनका दिवा कीछा
person_7_44w.wav,इक अति बैकिछा
"person_8_nun2,.wav",यून एक दिलो खातु
person_6_5c.wav,नून एक किलो बेचा.
person_8_chini2.wav,चीनी एक किलो था
person_6_444a.wav,चीनी कती बाकी साओ
"person_8_tel1,,.wav",तेल कति बांकी छौ?
person_2_2.3.wav,"चाबल एक किलो थापा,"
person_4_nun becha.wav,नुन एक किलो बेजा
person_7_555z.wav,नून एक किलो कटाओ
person_4_nun becha - far.wav,नून एक किलो बेजाओ
person_4_tel ghatau - noise.wav,इन एक लिटो गटा इस
person_6_222b.wav,दाल एक किलो थपः
person_6_44a.wav,चीनी काति बाकिसा
person_6_33c.wav,तेल एक लिटर बेचा।
person_6_4c.wav,चीनी एक किलो बेटा।
person_7_333y.wav,तेल एक लिटर रेचा
person_1_चामल एक किलो घटाउ - Noise.wav,चामल एक चिलो गटवु
person_1_नुन एक किलो थप - Clear.wav,नून एक किलो थब।
person_1_नुन कति बाँकी छ - Noise.wav,नुन कति बायकी सर्द।
"person_8_chamel,4.wav",चामल एक किलो गटाऊ।
person_3_2.2.wav,चामाल एक किरो थापा
"person_8_nun3,,.wav",नुन 1 KB
"person_8_nun3,.wav",नुन एक किलो बैच
person_4_nun.wav,नुनकाती बागीता
person_2_6.3.wav,दाल एक किलो थपः
person_6_111a.wav,चामल कति बागिसा।
person_7_3x.wav,एक लितर ठबा
person_2_4.1.wav,एक किलो चाबल घटाऊ।
"person_8_tel1,.wav",त्रिल गति बांकी छ
person_4_chini thapa - far.wav,शिनी एक किलो धबा
person_4_daal thapa - far.wav,दाल एक किलु थपा
"person_8_dal1,,.wav",दाल कति बाखी छ।
person_7_3y.wav,तेल एक लिटर बेचा।
person_7_111w.wav,चामल कती बागी छा
person_2_6.2.wav,दाल एक किलो थापा।
person_3_2.3.wav,चामल एक किलो धबा
person_6_444d.wav,चिने एक किलो काटव।
person_7_333x.wav,तेल एक लिटर धबा
person_6_4b.wav,छीनी एक किलो थपा।
person_7_11z.wav,एक किलो गटाओ
person_6_33b.wav,तेल एक लिटर थपा।
person_6_222c.wav,डाल 1 किलो बेचा
"person_8_chini1,,.wav",चीनी का दिमा की छै
person_4_tel ghatau - far.wav,Det är ett lite gotter um.
person_6_222a.wav,डाल कती बाकी छौ।
person_7_11x.wav,इसे आमल 1 kg धबा
person_6_44b.wav,चीनी एक किलो थापा।
person_6_5d.wav,नून एक किलो घटव।
"person_8_chini3,,.wav",चीनी एक किलो बेच।
person_7_333z.wav,तेल 1 लिटर गटाऊ
person_3_2.1.wav,चामल एक किलो थपप
person_1_दाल कति बाँकी छ - Noise.wav,डाल कति बैकी छौ?
"person_8_dal3,,.wav",दाले किलो बेट्स
person_6_111b.wav,चामल एक किलो थपः
person_1_चीनी एक किलो थप - Noise.wav,चेनी एक किलो थपब।
person_2_4.2.wav,"एक किलो चावल गटाओ,"
person_4_chini becha.wav,चिनी एक किलो बेजा।
person_1_चीनी कति बाँकी छ - Mic_s far away.wav,चिनी कति बागिछो
person_2_4.3.wav,शाबल एक किलो घटाऊ
person_7_3z.wav,तेल एक लिटर कटाओ।
person_6_111c.wav,चामल 1 किलो बेचा
person_2_6.1.wav,"दाल एक किलो थापा,"
person_1_नुन एक किलो घटाउ - Clear.wav,नून एक किलो गटाऊ।
person_4_tel kati baki cha.wav,तेल कती बाकी छौ
person_4_chamal Kati baki cha.wav,चामल कति बाकी छौ।
person_1_चीनी कति बाँकी छ - Clear.wav,चीनी कती बागी छौ।
person_8_chini4.wav,चिनी एक किलो गटाउ।
person_6_4a.wav,चीनी काती बागी छा।
"person_8_nun1,,.wav",नुन कति बाँकिछा।
person_6_44c.wav,चीनी 1 किलो बेचा।
person_7_11y.wav,साहिमल एक किलो बेचा
person_6_33a.wav,तेल कति बागी छ।
person_4_chini kati baki cha - noise.wav,चिनि कति बाटि छाओ
person_1_चीनी एक किलो थप - Mic_s far away.wav,सिनी एक किलो थपब।
person_7_222w.wav,दाल कती बाकी सो
person_2_19.3.wav,"दूद एक किलो बेचा,"
person_3_19.3.wav,नुन एक किलो बेचार
person_3_7.3.wav,दाल एक किलो बेचा
person_1_तेल एक किलो थप - Clear.wav,तेल एक किलो थपः
person_6_3b.wav,तेल एक लिटर थपा
"person_8_chini4,,.wav",चिनी एक किलो गटव।
person_3_5.1.wav,दाल कती बाकी छ
person_4_chini ghatau - noise.wav,छिन्नी एक किलो गटाओई
person_1_नुन एक किलो बेच - Mic_s far away.wav,नून एक किलो बेचव
"person_8_dal4,,.wav",धाले किलो गटव।
person_7_4y.wav,चीनी एक किलो बेचा
person_6_22b.wav,दाल एक किलो थपा।
person_2_3.2.wav,एक किलो चामल बेचा
person_4_chini ghatau.wav,चिनी एक टिलो गाटाऊु
person_2_3.3.wav,"चाबल एक किलो बेचा,"
person_6_55a.wav,नुन कति बागिसो।
person_6_22c.wav,दाल एक किलो बेचा।
"person_8_dal2,.wav",दाल एक किलो थोब
person_7_4x.wav,यानी एक किलो था बा
person_2_1.1.wav,चामल कति बाकी छा?
person_4_chini kati baki cha - far.wav,किनिकाति बागिचा
person_1_तेल कति बाँकी छ - Noise.wav,तेल कति बाइकिछा।
"person_8_nun4,.wav",नुन एक किलो गटाऊँ
person_6_3c.wav,तिल एक लिटर बेचा
person_3_7.2.wav,दाले किलो बेटा
person_3_19.2.wav,नुन इख गिलो बिजा
person_2_19.2.wav,नून एक किलो बेचा
person_1_तेल एक किलो बेच - Mic_s far away.wav,तेल एक किलो बेचा।
person_4_chamal ek kilo becha.wav,चामल एक किलो बेचा
person_6_3a.wav,तिल कति बाकी छो
"person_8_nun4,,.wav",नुन एक किलो घटाओ
person_3_5.2.wav,दारु कती भागी छ।
person_8_chmael3.wav,सामल 1 किलो बेच
"person_8_tel2,,.wav",तेल 1 किलो थाप
person_2_1.3.wav,चाबल कति बाकी छ।
person_7_4z.wav,चिनी एक किलो गटाऊ।
"person_8_chini1,.wav",चीनी कति माँगीछा
person_6_55c.wav,नून 1 किलो बेचा
person_6_22a.wav,दाल कति बाकी छौ।
person_4_daal becha.wav,दाल एक किलो बेचा।
person_2_3.1.wav,"एक किल चामल बेचा,"
person_4_tel becha - noise.wav,28 l twin
person_6_55b.wav,नून एक किलो धापा
person_4_tel thapa - noise.wav,तेल एक लिटर था पा
person_2_1.2.wav,चामल कति बाकी छ?
person_3_5.3.wav,दाल कती बाकी छ।
person_1_चामल कति बाँकी छ - Noise.wav,सामन को तिबानिसो
person_6_2d.wav,धाल एक किलो गटव।
person_3_7.1.wav,दाल एक किलो बेजा
person_4_tel becha.wav,तेल एक लिटर बेचाओ।
person_4_nun thapa - far.wav,मुन एक किलो थपा
person_2_19.1.wav,"नून एक किलो बेचा,"
person_3_19.1.wav,नुन एक किलो बेजा
person_1_चामल एक किलो बेच - Mic_s far away.wav,चामल एक किलो बेचा
person_2_5.2.wav,दाल कति बाकी छ?
person_1_दाल कति बाँकी छ - Mic_s far away.wav,दाल कति बागी छौ।
person_6_3d.wav,तेल 1 लिटर घटव।
person_2_20.1.wav,नून एक किलो गटाऊ।
"person_8_dal2,,.wav",दाल 1 किलो था
person_3_20.1.wav,उन एक किलो गटाऊ।
person_1_तेल एक किलो घटाउ - Mic_s far away.wav,तेल एक किलो बटाऊ।
"person_8_chini2,,.wav",सीनी एक किलो था
person_3_3.1.wav,सामालेक किलो बेता
person_4_daal ghatau.wav,डाल एक किलो घटवु
person_1_चीनी एक किलो बेच - Noise.wav,चीनी एक किलो बेचर
person_3_1.3.wav,चामल कती बाती छौ।
person_6_22d.wav,दाल एक किलो कटव।
person_4_chini becha - far.wav,येनी एक किलो बेजो
person_4_daal becha - far.wav,इकिलो बेचो
person_3_1.2.wav,चामल कती बागे छ?
person_7_5z.wav,नोन एक किलो कठाओ
person_7_22w.wav,साल कती बागी छा
person_2_7.1.wav,"ताल एक किलो बेचा,"
person_1_चामल एक किलो थप - Noise.wav,चामल एक किलो थपब।
person_6_2a.wav,दाल कती बाकी छो
person_8_chamel..4.wav,चामल एक किलो घटाऊ।
person_1_दाल एक किलो बेच - Clear.wav,दाल एक किलो बेचा।
person_2_5.3.wav,दाल कती बाकी छौ?
person_2_5.1.wav,दाल कति बाकी छा?
person_6_2c.wav,दाल 1 किलो बेचा
person_4_chamal Kati baki cha - nosie.wav,चामल काती बागी था
"person_8_tel4,,.wav",तेले किलो गटव।
person_3_20.2.wav,इकुन एक किलो गटाओ
person_2_7.3.wav,डाल एक किलो बेछा
person_2_20.2.wav,नून एक किलो गटाउँ
person_7_55w.wav,उनको तिभा गिसो
person_1_चीनी एक किलो घटाउ - Clear.wav,चीनी एक किलो गटाऊ।
person_3_3.2.wav,सामाले एक किलो पैछा
"person_8_nun2,,.wav",नुन एक किलो थप्तु
"person_8_dal3,.wav",दाल 1 KB
person_7_5x.wav,नून एक किलो था भाँ
person_4_chini becha - noise.wav,जीनी एक किलो गेजा आ
person_4_chini thapa - noise.wav,प्रचिनी एक किलो ठबाँ
person_6_55d.wav,नून एक किलो काटव।
person_1_नुन एक किलो बेच - Clear.wav,नून एक किलो बेचा
person_3_1.1.wav,सामल कति बाखी छा।
person_4_nun ghatau.wav,नुन एक किलो गटाऊ।
person_7_5y.wav,नुन एक किलो बेचा
person_3_3.3.wav,आमाले एक चिलो बेचा
person_2_7.2.wav,"दाल एक किलो बेचा,"
person_2_20.3.wav,दूद एक किलो घटाओगो
person_3_20.3.wav,नुन एक किलो घटाऊ।
person_6_2b.wav,दाल एक किलो थबा
