file,text
"13 Feb, 22.39​_633.wav",चिव्रा पाँच किलो कटाऊ
"13 Feb, 22.40​(2)_795.wav",बेशार पच्छिस किलो बेजे
"13 Feb, 22.40​(3)_808.wav",बिसार पच्चिस किलो को डाउग
"13 Feb, 22.40​(4)_513.wav",बिस्कुट कति बागी छा?
"13 Feb, 22.40​(5)_625.wav",बिस्कुड बिस्पैकेट था बा?
"13 Feb, 22.40​(6)_234.wav",बिसकुट 20 पैकेट बेचे
"13 Feb, 22.40​(7)_461.wav",बिस्कुड बीज पैकेट कोटाउ
"13 Feb, 22.40​_401.wav",बेसार पच्छिस केलो धबा
Anda baki far_779.wav,अनदा कस्ति पाकि जाओ
Anda baki noise_426.wav,अण्डा कति पाकी छा?
Anda baki normal_691.wav,अंडा क्योंकि बागी छो?
Anda baki1(1)_437.wav,अण्डा कति बाकी छो?
Anda baki12(1)_49.wav,अण्डा क्वति बाकी छो
Anda baki12_414.wav,अण्डा क्वति बाकी छो
Anda baki1_251.wav,अण्डा कति बाकी छो?
Anda baki3(1)_276.wav,अण्डा क्वाटी बाकी छो
Anda baki3_312.wav,अण्डा क्वाटी बाकी छो
Anda baki4(1)_514.wav,अण्डा कति बाकी छो?
Anda baki4_428.wav,अण्डा कति बाकी छो?
Anda baki5(1)_73.wav,अण्डा कति बाकी छो?
Anda baki5_435.wav,अण्डा कति बाकी छो?
Anda beche 1_338.wav,उण्ड पन्रोट बीजी
Anda beche 2_397.wav,उण्ड पन्द्रोड बिसी
Anda beche 3_464.wav,अन्डब 15 रोड़ बेची
Anda beche 4_286.wav,अन्दा पन्दरोड बीची
Anda beche 5_335.wav,अन्ड्रो दबीची
Anda beche far_659.wav,अन्दा पोड़े लो बेची
Anda beche noise_814.wav,पन्दा पज्ज़ाला विजी
Anda beche normal_206.wav,अंता 15 विडा बीची
Anda bechey1(1)_566.wav,अण्डा पन्द्रोटा बेचे
Anda bechey1_269.wav,अण्डा पन्द्रोटा बेचे
Anda bechey2(1)_179.wav,अण्डा पान्द्रोधा बेचे
Anda bechey2_319.wav,अण्डा पान्द्रोधा बेचे
Anda bechey3(1)_609.wav,अण्डा पान्दर ओटा बेचे
Anda bechey3_301.wav,अण्डा पान्दर ओटा बेचे
Anda bechey4(1)_364.wav,अण्डा पन्द्रोड़ बेचे
Anda bechey4_455.wav,अण्डा पन्द्रोड़ बेचे
Anda bechey5(1)_876.wav,अंडा पन्द्रोटा बेचे
Anda bechey5_404.wav,अंडा पन्द्रोटा बेचे
Anda ghatau 1_385.wav,उन्द 15 गटाउ
Anda ghatau 2_447.wav,परकोड़ा परकोड़ा
Anda ghatau 3_410.wav,अंडा पन्रोटा गटा उठू
Anda ghatau 4_322.wav,अन्डा पान्रोटा गटा उफ़ु
Anda ghatau 5_297.wav,अनद 15 गोटाव
Anda ghatau far_502.wav,अण्डा पोन्दोर्डा गाता
Anda ghatau noise_52.wav,पाल्लेल बटागब
Anda ghatau normal_167.wav,अनटा पन्द्रोड़टा गटाओ
Anda ghatau1(1)_151.wav,अण्डा पन्दर ओटा गटाओ.
Anda ghatau1_871.wav,अण्डा पन्दर ओटा गटाओ.
Anda ghatau2(1)_485.wav,अण्डा पन्दरोटो गोटा हुँ?
Anda ghatau2_809.wav,अण्डा पन्दरोटो गोटा हुँ?
Anda ghatau3(1)_110.wav,अण्डा पन्दोडा गटव
Anda ghatau3_863.wav,अण्डा पन्दोडा गटव
Anda ghatau4(1)_788.wav,अण्डा पान्दरोटा गटाओ
Anda ghatau4_684.wav,अण्डा पान्दरोटा गटाओ
Anda ghatau5(1)_248.wav,अंडा पन्द्र अटा गटो
Anda ghatau5_731.wav,अंडा पन्द्र अटा गटो
Anda kati baki 1_6.wav,अण्डा क्योंकि बागी छा?
Anda kati baki 2_56.wav,અંડડા કાતી બાકિ છારા
Anda kati baki 3_102.wav,नदनको तियां परिछा
Anda kati baki 4_182.wav,पिन्मा पति बाकी छो
Anda kati baki 5_219.wav,परनदा क्वाति बाकि छो
Anda thap 1_791.wav,पन्दा पौन्दरोड तोप
Anda thap 2_730.wav,उण्ड पओन्रोट थप
Anda thap 4_854.wav,पन्द्रोग लोग
Anda thap 5_815.wav,অণড পঁঅনদরওড তপতা
Anda thap3_802.wav,पन्भर्डट हो
Anda thapa1(1)_33.wav,अण्डा पौन्द्रोड थपो।
Anda thapa1_749.wav,अण्डा पौन्द्रोड थपो।
Anda thapa2(1)_593.wav,अण्डा पान्द्रोड़ थापा
Anda thapa2_692.wav,अण्डा पान्द्रोड़ थापा
Anda thapa3(1)_223.wav,अंड़ 15 उटत थोपो
Anda thapa3_723.wav,अंड़ 15 उटत थोपो
Anda thapa4(1)_920.wav,अण्डा पान्द्रोडा धापा
Anda thapa4_820.wav,अण्डा पान्द्रोडा धापा
Anda thapa5(1)_351.wav,अण्डा पन्द्रोटा थपा
Anda thapa5_850.wav,अण्डा पन्द्रोटा थपा
Besae beche far_258.wav,पेछा पाछि स्कीदो भी जीविग
Besae beche noise_118.wav,बई साल 25 किला गे ते ले हैं
Besae beche normal_361.wav,बेशार पचिस किलो बेजे
Besar baaki1(1)_375.wav,बेशार कति बागी छो?
Besar baaki1_159.wav,बेशार कति बागी छो?
Besar baaki2(1)_702.wav,बिसार कति बागी छो
Besar baaki2_224.wav,बिसार कति बागी छो
Besar baaki3(1)_318.wav,बेशार कति बागी छो
Besar baaki3_177.wav,बेशार कति बागी छो
Besar baaki4(1)_558.wav,विसरकति बाकि छो
Besar baaki4_106.wav,विसरकति बाकि छो
Besar baaki5(1)_20.wav,बेसार कति पाकी छो
Besar baaki5_53.wav,बेसार कति पाकी छो
Besar baki far_315.wav,बिछार कोटि बाकि छाओ
Besar baki mormal l_551.wav,बिजार कदि बाकि छो?
Besar baki noose_620.wav,इसार कति बाती चाहते हैं
Besar beche 1_831.wav,बिसार 25 किलो बेचे
Besar beche 2_896.wav,पिसा 40 सकिलोग बेटे
Besar beche 3_909.wav,प्रिसाद्ध प्रतिस किलोग बेटे हैं
Besar bechey 1(1)_422.wav,बिसार पथिस किलो बेटे
Besar bechey 1_82.wav,बिसक्र बिस पैकेट बेटे
Besar bechey2(1)_728.wav,बिसार 25 किलो बेचे
Besar bechey2_778.wav,बिस्कुड बिस्प्पैकेट पेछे
Besar bechey3(1)_306.wav,बेसार पठीस किलो बेते
Besar bechey3_756.wav,बिसकूत बिस पैकेट बेचे
Besar bechey4(1)_528.wav,માટિછાર પાઁછિસક્કીલરં બિજઇનિ
Besar bechey4_910.wav,20 packet bheche
Besar bechey5(1)_41.wav,बेशार 25 किलो बेचे
Besar bechey5_893.wav,20 packet बेजे
Besar ghatau 1_44.wav,बिस्कुट बिस्पाकेट को ताओ
Besar ghatau 1_867.wav,बेसार 25 किलो घटाओ
Besar ghatau 2_927.wav,पट्सप्यो करता हुए
Besar ghatau 3_869.wav,
Besar ghatau far_419.wav,बेसार पत्स किलो गटाओ
Besar ghatau noise_527.wav,साल 25 किलोग भाताओ
Besar ghatau notmal_597.wav,प्रिसार 25 किलो घाटाओ
Besar ghatau2_355.wav,बिस्कुट बिस्च पैकेट गटाओ
Besar ghatau3_362.wav,बिस्कुड बिस्पाकेड गटाउ
Besar ghatau4_253.wav,बिस्कुट बीस्पैगेट का टाउ
Besar ghatau5_260.wav,बिस्कूट 20 पैकेट गटाव
Besar kati baki 1_17.wav,बिसार कदि बाखी छा?
Besar kati baki 2_76.wav,बेसार क्योंकि बागी छा?
Besar kati baki 3_88.wav,द्योई सर क्कति बाठी छा
Besar thap 1_133.wav,बेचार 25 किलो थाप
Besar thap 2_193.wav,बे साइ पचिस पिरियो थाओ
Besar thap 3_209.wav,बिसर 25 किलो थब
Besar thapa far_550.wav,बेशार 25 किलो था पहुँँ
Besar thapa noise_9.wav,इसा पतिस्किलो द्राबाण
Besar thapa normal_889.wav,बेशार पट्सिस किलो ध्रापा
Besar thapa1(1)_213.wav,बिसार पच्चिस किलो धापा
Besar thapa1_153.wav,बिसार पच्चिस किलो धापा
Besar thapa2(1)_535.wav,बेसार पतिस किलो थपा
Besar thapa2_214.wav,बेसार पतिस किलो थपा
Besar thapa3(1)_43.wav,बिसार 25 किलो धापा
Besar thapa3_187.wav,बिसार 25 किलो धापा
Besar thapa4(1)_726.wav,विसार 25 किलो थपा
Besar thapa4(2)_225.wav,विसार 25 किलो थपा
Besar thapa4_96.wav,बिस पैकेट थपाओ
Besar thapa5(1)_304.wav,वेसार 25 किलो थापा
Besar thapa5(2)_591.wav,वेसार 25 किलो थापा
Besar thapa5_62.wav,बिसकुड बिस पैकेट थापा
Besar thapau 1_783.wav,बिसार 25 किलो गटाओ
Besar thapau2_150.wav,बेसार 25 किलो गटा होगा
Besar thapau3_135.wav,विशार 25 किलो गटा हो
Besar thapau4_29.wav,बेसार 25 किलो गटाऊ
Besar thapau5_15.wav,पेसार पचिस खिलो गटा उपा
Biscuit baaki 1_665.wav,बिस्कोट कति बाकि छा?
Biscuit baki far_672.wav,बिसकुल कति बाकितां
Biscuit baki noise_247.wav,बिस्कुट्कोटि बाई प्रताओगा
Biscuit baki normal_613.wav,बिस्कुट क्योंकि बाकि छा?
Biscuit beche 1_650.wav,बिस्किट बेचे
Biscuit beche 2_608.wav,बिस्कित 20 पैकेट बेचे
Biscuit beche 3_592.wav,इट बीस्पैकेट बेजी
Biscuit beche far_861.wav,बिस्कुट 20 पैकेट बेचे
Biscuit beche noise_509.wav,बिस्कुट बिस्पाकेड बेजी
Biscuit beche_190.wav,बिस्कुट बिस्पागेद पीछी
Biscuit ghatau 1_21.wav,इसकित 20 पैकेट गटाओ
Biscuit ghatau 3_79.wav,बीस पैकेल गटाउ
Biscuit ghatau far_645.wav,बिसकुट पिस पैकेट खटा गणू
Biscuit ghatau noise_491.wav,बिसकुट 20 पैकेड का थाओ
Biscuit ghatau normal_635.wav,बिस्कुड 20 पैकेट घटाओ
Biscuit ghatau2_776.wav,So you must respect.
Biscuit kati baki 1_386.wav,बिस्कित प्रति बाकी साओ
Biscuit kati baki 2_456.wav,बिस्की पाटि बाकी चाहो
Biscuit kati baki 3_405.wav,बिस्कित कदि बागी छा?
Biscuit thap 1_384.wav,बिस्कित 20 पैकेर थाप
Biscuit thap 2_450.wav,बिस्कित बिस्पैबेट खाँप
Biscuit thap 3_411.wav,पिस पैकेट था
Biscuit thapa far_914.wav,विसकुल्ट बिस्पैग ठापा
Biscuit thapa noise_391.wav,बिस्पक्य पापाबादा
Biscuit thapa normal_833.wav,बिस्कुड 20 पैकेट धापा
Chiura 5 kilo thapa_173.wav,जिवरा पाट किलो धबो
Chiura baaki1_156.wav,चिव्रा कति बाकी छा?
Chiura baaki2_222.wav,चिउडा कति बाकी छो?
Chiura baaki3_180.wav,छिउडा कति बाकी छा?
Chiura baaki4_101.wav,जिउडा को तिमाकी छाओ.
Chiura baaki5_59.wav,शिउरा कति बाकी छो?
Chiura baki fan_344.wav,छूरा कदि बाकि था?
Chiura baki far_662.wav,छिवरा कोटी बाकी थालबा
Chiura baki normal_171.wav,शूरा कति बाकि छा?
Chiura beche 1_800.wav,शिउरा 5 किरो बेजी
Chiura beche 2_735.wav,5 kg bhetji
Chiura beche 3_680.wav,पाँच की लिप बेधी
Chiura beche 4_868.wav,चिव्रा पाँछ कीटो बेची
Chiura beche 5_805.wav,पाँच किल्यों बेचे
Chiura beche noise_48.wav,ख्यूडा पाट किलो बीटी
Chiura beche normal_367.wav,पाँच किलो बेजे
Chiura bechefar_197.wav,छूरा पाँच किलो बेटे
Chiura bechey 1_922.wav,चिउडा बाच किलो बेचे
Chiura bechey 2_858.wav,चिव्रा पाछ किलो बेजे
Chiura bechey 3_811.wav,चिउडा पाँच किलो बेटे
Chiura bechey 4_725.wav,छिउडा पाछ किलो बेचे
Chiura bechey 5_688.wav,शिउरा पाछ किलो बेटे
Chiura ghatau 1_32.wav,સિવરા પાંચકિલિઓ ગટાઉ
Chiura ghatau 2_91.wav,जिउरा 5 किलो गटाउ
Chiura ghatau 3_69.wav,छिवरा पाँछ खिलो गटाऊ
Chiura ghatau 4_208.wav,छिउरा पांछ किलो गटा हुँ
Chiura ghatau 5_194.wav,जिव्रा पाँछ किलो भटाऊ
Chiura ghatau far(1)_828.wav,पाँच किलो गोटा
Chiura ghatau far_911.wav,च्यूरा 5 किलो गोटा ओप
Chiura ghatau nirmal_415.wav,जुरा बच्क लोगधाओ
Chiura ghatau noise(1)_204.wav,पद्धागाद पास्ट किलोगाडाम
Chiura ghatau noise_236.wav,पाछ किलो गटाओ
Chiura ghatau normal_780.wav,सक्योड़ा पाँच किलो गटा हो
Chiura ghatau1_275.wav,चूरा पाछ किलो गटाओ
Chiura ghatau2_326.wav,शिव्रा पाँच किलो गटाओ
Chiura ghatau3_291.wav,छिवरा पाँच किलो गटाओ
Chiura ghatau4_462.wav,छिउरा पाँच किलो गटा हो।
Chiura ghatau5_399.wav,चूरा पाँच किलो गटाओ
Chiura kati baki 1_870.wav,छिउरा कदि बाकि छा?
Chiura kati baki 2_806.wav,छिवुरा कदि बाकि छो
Chiura kati baki 3_865.wav,ચિરા પાટિ માકિ છાંગાં
Chiura kati baki 4_677.wav,ચિવરા કાટિ માકિ છાઓ?
Chiura kati baki 5_737.wav,जिउड़ा कदि बाकि छो
Chiura thap 1_131.wav,पाँछ किलो धापा
Chiura thap 2_186.wav,शिवरा पाँछ किलो थाप्टो
Chiura thap 3_215.wav,जिव रहा पाँच किलियो थप
Chiura thap 4_63.wav,5 kg तभक
Chiura thap 5_94.wav,दिव्रा पाछ्च गिलो थाप
Chiura thapa fan_822.wav,छुडा पाँच किलो थोपर
Chiura thapa far_216.wav,जिउरा पाँच खीलो तापा
Chiura thapa1_149.wav,छिउरा पाँच किलो धपा
Chiura thapa2_211.wav,छिउरा पाछ किलो धपा
Chiura thapa3_191.wav,छिउडा पाछ किलो धपा
Chiura thapa4_89.wav,છિવરા પાચિ ગિલરં થાપા
Chiura thapa5_74.wav,छिउडा पाँच कीलो धपा
Maida baaki1_824.wav,मैडा कति बाकी छो?
Maida baaki2_887.wav,महिडा कति बाकि छो?
Maida baaki3_913.wav,मैडा कति बाकि छो?
Maida baaki4_752.wav,मैदा कति बाकि छो?
Maida baaki5_781.wav,महिदा कति बाकि छो
Maida baki far_523.wav,माइदा कोटि बाकिता
Maida baki noise_98.wav,मैं दाकाती बाकी था
Maida baki normal_61.wav,મઈદા કટ્ટિ વાગિ છાઓછાંગિ
Maida beche 1_856.wav,मोहिडा 10 किलो बिचे
Maida beche 2_923.wav,मुझे दादा उसकी लोगे जीवा
Maida beche 3_875.wav,मुई दादाउस्की लुबिती
Maida beche 4_787.wav,"आइ, दार्ड दोस्खीरो बेचे"
Maida beche 5_743.wav,માઈદા દાસકિલરબિજિ
Maida beche far_517.wav,मैं दाँ तोस्किल बेचे
Maida beche noise_196.wav,वएदार्डोस्किल्बितिया
Maida beche normal_416.wav,મઈદા દસકિલવબિટિ
Maida bechey1_685.wav,मैडा 10 किलो बेचे
Maida bechey2_739.wav,मैडा 10 किलो बेचे
Maida bechey3_793.wav,महिडा दस किलो बेचे
Maida bechey4_872.wav,मैडा दस किलो बेचे
Maida bechey5_925.wav,मैडा 10 किलो बेचे
Maida ghatau 1_136.wav,मोहिडा 10 किलो गटाओ
Maida ghatau 2_192.wav,मैदा 10 किलो गटाउ
Maida ghatau 3_210.wav,मैदा दोस्किलो गटाओ
Maida ghatau 4_75.wav,मोईदा 10 किलो गटाउ
Maida ghatau far_827.wav,महिंदा 10 किलो गफटा
Maida ghatau noise_327.wav,दस किलो गाटा हुए
Maida ghatau normal_531.wav,मैदा 10 किलो गटाओ
Maida ghatau1_454.wav,महिडा दोस्किलो गर्ता हूँ
Maida ghatau2_387.wav,मैडा 10 खिलो गटाओ
Maida ghatau3_341.wav,मैडा 10 किलो गटाओ
Maida ghatau4_268.wav,मैडा 10 किलो गटाओ
Maida ghatau5_242.wav,मैदा 10 किलो बताओ
Maida ghatau5_574.wav,मईदा 10 किलो गटाऊ
Maida kati baki 1_754.wav,મહઈદા કાટિ માંગિ છાટિ
Maida kati baki 2_695.wav,मोहिरा क्काति बाग़ी छा?
Maida kati baki 3_718.wav,महिडा काति बाकि छा?
Maida kati baki 4_825.wav,मैं दाप पतिमाकी छां
Maida kati baki 5_847.wav,मोहिडा काकी बाकि छा?
Maida thap 1_851.wav,મઈદા પાઁછ કિલિઓ થહબટિ
Maida thap 2_915.wav,देधना चकील फब
Maida thap 3_886.wav,मोई दास माच्की बुठाब
Maida thap 4_786.wav,मोईदा 5 किलो धब
Maida thap 5_746.wav,मोईदा 5 किलो थब
Maida thapa noise_762.wav,मही दाल दोस्पिलो त्रपाव
Maida thapa normal_228.wav,मैदा 10 किलो थापा
Maida thapa1_813.wav,मैडा 10 किलो थापा
Maida thapa2_881.wav,मैडा 10 किलो थापा
Maida thapa3_919.wav,मैडा 10 किलो धापा
Maida thapa4_740.wav,महिडा दोस्किलो थापा
Maida thapa5_792.wav,मैं दादास की लिए थापा।
Nahiti Batukvairab Marga 10_636.wav,और 5 किलो गटाउ
Nahiti Batukvairab Marga 11_660.wav,शिव्रा पाँच किलो घटाऊ
Nahiti Batukvairab Marga 12_611.wav,इदा कति बाईकी छा?
Nahiti Batukvairab Marga 13_583.wav,मैदा कति बाकि छट
Nahiti Batukvairab Marga 14_507.wav,मैदा दास किलो थबा
Nahiti Batukvairab Marga 15_475.wav,मैदा दास किलो थापा
Nahiti Batukvairab Marga 16_522.wav,મઈદા દાસ્ કિલવં બિટા
Nahiti Batukvairab Marga 17_559.wav,મઈદા દાસ્ કિલૂ બિચઇ
Nahiti Batukvairab Marga 18_457.wav,मैदा 10 किलो गटाउ
Nahiti Batukvairab Marga 19_403.wav,महिता जस किलो गटाओ
Nahiti Batukvairab Marga 20_239.wav,अण्डा कति बाईकी छा?
Nahiti Batukvairab Marga 21_272.wav,अण्डा कथी बागी सर्व
Nahiti Batukvairab Marga 22_321.wav,अंडा पन्द्रो उटा धपः
Nahiti Batukvairab Marga 23_300.wav,अंडा पन्द्र ओटा थबा
Nahiti Batukvairab Marga 24_451.wav,अंडा पंद्र वटा बिजे
Nahiti Batukvairab Marga 25_407.wav,अण्डा 15 अटा बेचे
Nahiti Batukvairab Marga 26_346.wav,अण्डा पंद्रो अटा गटाओ
Nahiti Batukvairab Marga 27_380.wav,अण्डा पंद्रो उटाग अटाओ
Nahiti Batukvairab Marga 28_505.wav,देसार कति बाईकी छा?
Nahiti Batukvairab Marga 29_479.wav,बिसार का तो भाईकी छाड़ा
Nahiti Batukvairab Marga 30_449.wav,बेसार 25 किलो धपा
Nahiti Batukvairab Marga 31_412.wav,इसार 25 किलियो धपा
Nahiti Batukvairab Marga 32_342.wav,बिसार 25 किलो पेजे
Nahiti Batukvairab Marga 33_383.wav,बिसार 25 किलो बेजे
Nahiti Batukvairab Marga 34_240.wav,बेसार 25 किलो गटाउडू
Nahiti Batukvairab Marga 35_270.wav,बेसार पच्छिस किलो गटा हुँ
Nahiti Batukvairab Marga 36_323.wav,डिस्कूट काति बाकी छा?
Nahiti Batukvairab Marga 37_298.wav,बिसकिट काती बाकि था
Nahiti Batukvairab Marga 38_632.wav,বেসੁট বীস੍ पैकेट थपा
Nahiti Batukvairab Marga 39_664.wav,"biscuit, bish, packet, thapa"
Nahiti Batukvairab Marga 40_57.wav,बिस्किर 20 पैकेट बेचे
Nahiti Batukvairab Marga 41_103.wav,Biscuit Beast Packet Basic
Nahiti Batukvairab Marga 42_37.wav,बिस्किड बीच पैकेट गडाऊ
Nahiti Batukvairab Marga 43_5.wav,बिसकित 20 पैकेट गटा हो गई परसाथ
Nahiti Batukvairab Marga 44_154.wav,छिउरा कति बाकी छा?
Nahiti Batukvairab Marga 45_129.wav,दूरा पाँछ किलो थपा
Nahiti Batukvairab Marga 46_183.wav,जुरा पांछ गिलो बेचे
Nahiti Batukvairab Marga 47_221.wav,छिवरा पाँछ किलो घटाओ
Nahiti Batukvairab Marga 48_784.wav,महिदा कति बाती छा?
Nahiti Batukvairab Marga 49_750.wav,मैदा दस्की रधापा
Nahiti Batukvairab Marga 4_377.wav,जिव्रा का दी बागी छा
Nahiti Batukvairab Marga 50_155.wav,मयिदा दस किलो बेटि
Nahiti Batukvairab Marga 51_127.wav,मैदा दस किलो गटाऊ
Nahiti Batukvairab Marga 52_184.wav,अण्डा कति बाकिछ?
Nahiti Batukvairab Marga 53_218.wav,अण्डा पांद्रा ओटा थपा
Nahiti Batukvairab Marga 54_54.wav,अण्डा पंद्र ओटा भेजे
Nahiti Batukvairab Marga 55_104.wav,अण्डा पान्द्र ओटा गटाओ
Nahiti Batukvairab Marga 56_36.wav,बेसार कति बागी छा?
Nahiti Batukvairab Marga 57_8.wav,इसार प्रतिस्कि नोध खापा
Nahiti Batukvairab Marga 58_819.wav,सार 25 किलो बेटा
Nahiti Batukvairab Marga 59_852.wav,बिसार 25 किलो गटाउ
Nahiti Batukvairab Marga 5_347.wav,छिवरा कति बाइकी छा?
Nahiti Batukvairab Marga 60_785.wav,बिस्कूट काठी बाईकी साथ
Nahiti Batukvairab Marga 61_748.wav,बिस्कित 20 पैकेर ठापा
Nahiti Batukvairab Marga 62_690.wav,बिस्किर बिस्पैकेड बेचे
Nahiti Batukvairab Marga 63_724.wav,इसकीर बिस्ट टैकेर गटाओ
Nahiti Batukvairab Marga 6_413.wav,तिव्रा पाँच किलो धपा
Nahiti Batukvairab Marga 7_444.wav,शिव्रा पाँच किलो था पाँच
Nahiti Batukvairab Marga 8_555.wav,त्युरा पाँछ किलो बेचा
Nahiti Batukvairab Marga 9_524.wav,जुरा बाँच किलो बेचा
New Recording 10_262.wav,अइदा कति बागी छ?
New Recording 11_252.wav,ਮਈਦਾ ਦਸਕੀਲਓ ਥਪਾ
New Recording 12_308.wav,मैदा दोस्किलो धपः
New Recording 13_311.wav,महिडा दस किलो बेचा
New Recording 14_427.wav,મઈડા દાસ્ કિલઋ બિટિ
New Recording 15_433.wav,मैदा दोस किलो गाटाओ
New Recording 16_359.wav,मैडा 10 किलो गटाओ
New Recording 17_356.wav,अण्डा कति बाकी छो?
New Recording 18_490.wav,अंडा कति बाकी छो?
New Recording 19_492.wav,अण्डा पौन्द्रो उठाय थपा
New Recording 20_644.wav,अण्डा पंद्रोडा थपः
New Recording 21_643.wav,अण्डा पान्द्रा ओटा बिच्ची
New Recording 22_596.wav,अण्डा पंद्रो डा बिची
New Recording 23_602.wav,अंडा पांद्र वडा गटाओ
New Recording 24_488.wav,अण्डा पंद्रोडा गटाओ
New Recording 25_495.wav,बेसार कति बाकी छा?
New Recording 26_545.wav,बेसार कति भाकी छा?
New Recording 27_539.wav,वेसार पत्चिस किलो धपः
New Recording 28_425.wav,वेशार पत्तिस किलो धापा
New Recording 29_436.wav,बे सार पच्चिस कीलो बेचे
New Recording 2_874.wav,चिवुराभति बाईकी छा
New Recording 30_486.wav,बे सार पत्छिस किलो बेचे
New Recording 31_496.wav,बे सार 25 किलो गटाउ
New Recording 32_544.wav,बेसार 25 किलो घटाओ
New Recording 33_540.wav,बिस्कुट कति बाकी छा?
New Recording 34_646.wav,बिस्कुट कति बागी छा?
New Recording 35_642.wav,बिस्कुट बीज पैकेट थापा
New Recording 36_598.wav,इसकुड बीस पैकेट खापा
New Recording 37_601.wav,बिस्कुड 20 पैकेट बेचे
New Recording 38_256.wav,बिस्किट 20 पैकेट बेचे
New Recording 39_255.wav,बिसकुट 20 पैकेट गटाओ
New Recording 3_924.wav,छिव्रा पाँछ किलो थपः
New Recording 40_842.wav,biscuit beast packet gatao
New Recording 41_834.wav,छिवरा कति बाईकी था?
New Recording 42_899.wav,छिउरा पाँछ किलो धपप
New Recording 43_902.wav,छिवरा पांच किलो बेचह
New Recording 44_763.wav,छिवरा पाँछ किलो गटा हो
